                           N             E             V      SN      SE      SV
AB50 2018.5818         0.884        -1.414         7.299   1.288   0.917   4.503
AB51 2007.0062         4.314         2.457       -10.865   1.214   0.828   3.465
AB51 2008.0630         3.598         2.417        -6.274   1.319   0.897   3.729
AB51 2008.9391         3.901         1.853        -9.236   1.546   1.042   4.374
AB51 2009.5195         0.228        -0.630         3.583   1.600   1.088   4.625
AB51 2010.9569         3.540         2.758        -4.871   1.383   0.951   4.054
AB51 2011.8741         3.812         2.440       -11.063   1.217   0.831   3.523
AB51 2013.0157       -19.100        -6.321         1.537   1.502   1.018   4.294
AB51 2013.4976        -4.397        -1.379         4.179   1.490   1.008   4.248
AB51 2018.6201         1.291        -0.208         9.219   1.262   0.866   3.672
AB51 2020.0082         2.196         0.220        -3.400   1.502   1.035   4.342
AB53 2011.8549        35.365        -5.756        46.737   2.361   1.613   6.709
AB53 2012.2763       -34.124         7.190       -57.297   1.981   1.338   5.638
AB53 2012.8679         3.161        -7.858        13.148   1.898   1.279   5.343
AB53 2013.2977       -27.479         1.893       -10.145   1.629   1.091   4.590
AB53 2019.9179         9.414        -3.697         9.056   2.421   1.669   6.798
AB53 2020.0767        24.819        -5.033        26.094   3.148   2.157   8.952
AB53 2020.2847       -31.447         7.538       -37.571   2.894   1.976   8.183
ABEB 2010.5556        -5.542        -0.726         0.702   1.319   0.906   4.006
ABEB 2013.8208        -0.155        12.533        52.024   2.172   1.551   6.611
ABGS 2005.2402       -12.631       -52.714       -19.358   4.694   5.760  20.155
ABGS 2005.3413        -6.676       -10.367        -4.148   5.047   6.150  21.486
ABGS 2005.5304        -3.577        -7.570        -3.666   2.427   2.834   9.909
ABGS 2007.6988       -24.956        -3.886        -3.974   1.309   1.578   5.430
ABGS 2009.7467       -18.844        13.809        -5.548   1.422   1.713   5.992
ABGS 2012.2793        11.590        17.950        -1.686   1.153   1.416   5.016
ABGS 2013.0022         1.329         4.461         0.426   1.128   1.392   4.964
ABMF 2010.3162        -1.568        -1.080       -10.386   1.474   1.666   6.602
