                           N             E             V      SN      SE      SV
RBRU 2020.3121        -2.476        -4.486        13.540   2.089   1.714   6.993
RBUT 1999.7070         0.368        -1.063         5.879   1.297   1.084   5.192
RBUT 2001.6099        -0.503         2.014         7.686   1.612   1.359   6.497
RBUT 2002.6913         0.649         1.378         7.161   1.678   1.407   6.704
RBUT 2004.3806         1.306        -4.544       -13.109   1.264   1.028   4.924
RCA2 2003.0308         2.643         3.735         6.601   1.226   1.028   4.212
RCA2 2003.6003         4.310        12.236         3.989   1.928   1.624   6.860
RCA2 2003.8768        -1.254         6.012        -1.086   2.309   2.009   8.533
RCA2 2004.1122        -4.322       -20.693        -7.144   1.886   1.665   6.971
RCA2 2004.9582         3.913        -2.245        -7.647   0.993   0.837   3.390
RCA2 2010.0534         2.373        -1.263        -3.349   0.849   0.702   2.879
RCA2 2017.0075         1.925         0.355        -4.923   0.795   0.670   2.673
RCA2 2019.0144         4.238        -0.295        -3.700   0.841   0.716   2.834
RCMN 2010.2368        -2.246         0.221        -3.907   1.024   1.190   4.469
RCMN 2011.6140         1.335        -0.447        -6.592   1.199   1.408   5.224
RDJH 2014.4723         0.465        -4.037         3.301   1.335   0.928   3.830
RDJH 2019.4909        -0.607        -3.068        17.587   1.519   1.067   4.402
RDJH 2019.9151         3.628        -0.460        -3.360   1.818   1.271   5.240
RDMT 2000.3613         1.984        -4.914        -1.286   1.595   1.387   5.503
RDMT 2001.2840         2.296        -3.445         4.444   1.084   0.938   3.732
RDMT 2003.0308         2.393        -0.363         6.868   0.957   0.824   3.263
RDMT 2004.3751        -0.157        -5.663        -8.613   0.966   0.824   3.265
RDMT 2006.1067        -0.506        -3.948         3.518   0.920   0.779   3.096
RDMT 2010.2834        -5.844        -0.642         0.423   0.876   0.739   2.964
RDMT 2012.2437        -2.318         1.067         3.345   0.830   0.695   2.786
RDMT 2015.4661        -1.913         0.711         1.962   0.882   0.752   2.975
RDMT 2019.5072         3.788         3.585        -1.442   0.953   0.822   3.237
RDOM 2000.1205        -2.646        -0.670        -8.222   1.784   1.474   6.384
RDOM 2000.5640         1.247         0.113       -13.668   2.045   1.658   7.218
RDOM 2001.0404        -0.564        -1.648       -10.541   1.602   1.281   5.541
RDOM 2002.6256        -0.068         6.107        23.690   1.053   0.844   3.559
RDOM 2004.3778        -0.502        -5.541       -15.617   1.339   1.076   4.549
RDOM 2005.0212        -0.781        -3.936       -19.971   1.694   1.356   5.949
RDOM 2005.9986        -0.540        -4.279       -10.914   1.533   1.218   5.404
RDOM 2009.8701        -2.176        -3.751        -5.555   1.956   1.574   6.837
RDOM 2010.1519        -2.172        -3.948       -12.358   1.852   1.494   6.511
RDOM 2011.9343        -1.494        -0.021        12.931   1.381   1.074   4.557
RDOM 2012.3806        -1.180         0.177         8.280   1.497   1.159   4.954
RDOM 2013.2512        -1.494         0.778        10.887   1.608   1.248   5.491
RDOM 2013.8291        -1.265         1.865        17.094   1.753   1.353   5.972
RDOM 2014.5272         0.532         0.113         7.779   1.384   1.069   4.693
RDOM 2018.4093         0.223         4.007         7.355   1.122   0.903   3.815
RDSD 2013.1826        -4.523        -3.229         4.876   1.005   1.123   4.277
RDSD 2017.4483         1.308         3.017        -1.842   0.968   1.047   4.157
RDSO 2016.8104        -3.000         6.327        -0.507   1.644   1.062   5.016
RDWB 2013.6071        -0.381        -1.195         3.770   1.456   1.074   4.495
RDWB 2014.6201        -0.809        -0.867         0.909   1.702   1.255   5.276
RDWB 2016.0164         0.325         1.362        -7.447   1.744   1.259   5.415
RDWB 2016.5749        -3.879         2.100         6.443   2.085   1.512   6.529
RDWB 2019.5784         1.327        -1.253         9.764   1.523   1.112   4.606
RECF 2012.6598        -1.325        -7.271         5.837   1.343   1.491   5.930
RECF 2015.2142        12.974         3.831         1.690   1.030   1.143   4.536
RECF 2017.7780        -4.920         3.410         2.929   1.608   1.936   7.563
REDC 2013.5551        -1.427        -1.663         5.113   1.802   1.242   5.395
REDC 2016.5613        -3.799         4.786         2.766   1.658   1.131   5.003
REDC 2019.5209         1.315        -1.246         6.806   1.577   1.089   4.663
REDM 1999.7673        -1.895         1.944         6.581   1.144   0.872   3.631
REDM 2001.6893         1.315         1.677         3.472   1.160   0.878   3.676
REDM 2002.7296         0.666         2.574         7.497   1.122   0.848   3.542
REDM 2004.9500         0.731        -3.708        -2.275   0.907   0.679   2.821
REDM 2013.5962        -1.011         0.474         4.365   0.863   0.635   2.602
REDM 2019.1266        -0.646         0.605       -13.678   1.446   1.102   4.293
REDM 2019.4798         6.002        -1.635         2.297   1.591   1.207   4.699
REDU 2011.1814        -1.411         0.726         4.470   0.945   0.693   2.974
REDU 2013.7086        -1.780        -2.032       -29.569   0.887   0.651   2.747
REED 2010.1875        -1.696        -3.818         4.184   1.396   1.028   4.208
REED 2012.3616        -1.010        -2.850         3.529   1.233   0.908   3.691
REED 2014.1574        -3.626        -5.096         3.422   1.176   0.863   3.525
REED 2016.1451        -1.447        -3.004        -2.072   1.414   1.053   4.250
REED 2020.1179        -0.176        -8.974        69.613   3.133   2.914  10.018
RELA 2000.1396        -4.326        -0.335         3.070   1.162   0.988   4.076
RELA 2002.7324         0.607         3.030         6.795   1.009   0.849   3.541
RELA 2004.3778        -0.297        -3.079        -3.968   1.543   1.305   5.390
RELA 2004.8159        -0.231        -1.111        -7.231   1.561   1.317   5.436
REP2 2010.2204        -2.833        -0.614        -1.764   1.564   1.254   4.985
REP3 2010.2204        -3.096        -0.478        -1.963   1.554   1.244   4.928
REP4 2010.1684        -2.842        -0.991        -3.058   1.522   1.218   4.894
REPO 1999.7945        -4.921        -0.619         4.440   1.329   1.098   4.544
REPO 2002.7324         1.218         3.048         8.140   0.863   0.714   2.981
REPO 2004.3751         0.023        -2.919        -5.835   1.314   1.094   4.522
REPO 2004.9528         0.424        -1.394        -3.235   1.221   1.016   4.192
REPO 2019.5099        -4.339        -0.155        -0.550   1.222   0.994   3.849
RESO 2002.3190        -3.034        -4.911        -6.030   1.838   1.441   7.801
REUN 2001.6454         0.894         4.140        -7.309   1.637   1.812   7.293
REUN 2003.4033        -3.533         4.769         0.796   1.371   1.444   6.235
REUN 2006.1768        -2.087         3.554        -1.575   1.046   1.124   4.942
REUN 2008.9391         4.439        -4.398        -9.832   0.973   1.019   4.507
REUN 2012.1588         1.372        -1.921        -8.160   1.227   1.264   5.560
REUN 2012.6680        -1.098        -2.315         6.647   1.243   1.281   5.642
REUN 2017.1908        -0.383         1.320       -13.749   1.135   1.235   5.207
REUN 2018.0671        -2.387        -1.558         5.971   1.076   1.177   4.958
REYK 1999.8932         2.049         4.005        -0.361   2.142   1.409   7.002
REYK 2000.4764         8.963       -11.396        -6.335   2.147   1.421   7.053
REYK 2002.4394         0.422        -4.031        -0.096   1.376   0.946   4.438
REYK 2003.4480        -0.322        -2.659       -14.109   1.352   0.928   4.338
REYK 2008.3997         5.649        -5.290         6.080   1.047   0.717   3.256
REYK 2013.3363         3.426         1.509       -16.498   1.073   0.742   3.225
REYK 2014.4476         0.716        -1.972         2.705   1.047   0.725   3.134
REYK 2017.0139         1.123         0.874         9.528   1.285   0.895   3.888
REYK 2017.5743         0.787         0.565       -17.905   1.315   0.915   3.977
REYK 2019.3705        -2.333        -3.226         2.089   1.054   0.733   3.194
REYZ 2000.0002         2.323         5.108        -0.379   3.951   2.666  11.715
REYZ 2000.4709         8.877       -10.269         2.528   2.012   1.361   6.058
REYZ 2002.5626         2.095        -3.701        -1.524   1.441   0.985   4.474
RGAO 2010.5352         0.036       -10.788         1.679   3.566   3.069  13.975
RGAO 2010.7762        -3.878       -13.975         2.425   2.713   2.314  10.397
RGAO 2011.2635        -1.383       -12.958        -1.318   2.260   1.986   8.737
RGAO 2011.7317        -1.765        -6.769        -1.529   2.190   1.919   8.459
RGAO 2012.2656        -1.022        -9.267        -0.702   1.932   1.682   7.517
RHCG 2017.0349       -20.803        18.126       -19.207  14.798  19.801  65.290
RHCG 2017.0568       -20.403        23.055         1.277  14.887  19.854  65.525
RHCG 2017.2457        -7.672         6.481         7.338   2.361   2.156   8.333
RHCG 2017.7988        -0.756        -3.907        -7.237   1.565   1.457   5.653
RHCL 1999.7837         4.567        -1.943        -2.881   1.162   1.009   4.339
RHCL 2002.7543         3.668         3.213         5.717   0.889   0.767   3.424
RHCL 2004.3833         1.160        -3.188        -8.385   1.137   0.987   4.395
RHCL 2005.3032        -2.149        -3.843        -0.846   1.048   0.908   4.016
RHCL 2008.4025        -0.987         4.369       -22.033   2.919   2.492  11.746
RHCL 2008.5120         9.312         0.305        35.908   4.426   3.814  17.813
RHCL 2008.5996        -7.590        -5.571       -11.269   3.459   2.996  13.857
RHCL 2010.2861        -3.433        -1.717        -0.692   0.897   0.750   3.356
RHCL 2019.0965         3.650         1.460        -5.104   1.025   0.881   3.882
RHCL 2019.9918         3.188         0.608         2.446   1.442   1.251   5.523
RIBA 2011.8467         7.862       -10.916         4.256   2.786   2.505   9.881
RIBA 2012.0274         9.701       -13.066         7.715   2.890   2.585  10.199
RIBA 2012.1862         4.278        -9.035        10.375   2.597   2.319   9.158
RIC1 2001.4894         1.922         0.746         4.775   1.415   1.171   4.725
RIGA 2005.0349        -0.605         4.860        -6.007   1.114   0.760   3.463
RIGA 2006.3657         0.885        -4.788         6.342   1.475   1.016   4.612
RIGA 2007.4086         1.115        -1.515        -5.175   1.330   0.919   4.149
RIGA 2013.9357        -4.148         3.319         2.070   1.000   0.696   3.093
RINK 2010.6010         3.663         3.528         7.668   1.051   0.778   4.018
RINK 2011.6030         0.945         1.143         7.772   1.244   0.925   4.721
RINK 2012.5695         6.021         2.560         4.307   1.132   0.835   4.295
RIO2 2012.7685        -1.784        -2.892       -16.298   1.090   0.780   3.093
RIO2 2017.3171        -1.043         3.404         2.251   0.970   0.680   2.772
RIOB 2013.2787        -3.749       -16.658         2.863   1.647   2.026   7.122
RIOG 1999.9215        -0.985        -3.206         8.356   1.581   1.083   4.639
RIOP 1998.6475         0.470        -5.148        -1.138   2.562   2.894  12.811
RIOP 1999.1157        -6.123        -4.068        -1.578   2.886   3.160  14.494
RIOP 1999.7260        -5.224        -4.812         2.083   3.455   3.713  17.570
RIOP 2000.1315        -5.803        -6.155        -2.129   3.588   3.854  17.865
RIOP 2000.7255        -4.473        -4.256         7.445   2.709   2.950  12.925
RIOP 2007.3239       -11.019       -10.268         8.846   2.751   3.263  12.118
RIOP 2009.4976         0.987        -0.290       -14.186   1.236   1.502   5.486
RIOP 2011.2443        -4.130        -1.563        -2.645   0.927   1.109   3.838
RIOP 2013.5604         0.130         3.517         2.801   0.995   1.204   4.110
RIOP 2016.3039        19.396       -23.782        -1.373   1.119   1.299   4.608
RIOP 2016.7748         5.536        -2.596        -5.026   1.103   1.264   4.543
RIOP 2017.8480         5.716        -0.391         4.006   0.870   1.015   3.610
RIOP 2019.3977         3.590        -4.612        -0.364   0.947   1.111   3.915
RIPA 2004.9802         6.486         8.824         4.049   1.537   1.244   5.069
RIPA 2010.8446         4.389         4.040         0.305   0.999   0.817   3.420
RIPA 2015.4524         6.588         4.394         1.148   1.212   1.016   4.193
RIPA 2016.0575         1.269        -4.863        30.720   1.400   1.158   4.831
RIPA 2016.8706         5.384         3.852        -3.726   1.456   1.171   4.991
RIPA 2018.7216        -1.726         3.380       -27.847   1.451   1.167   4.977
RIS1 1998.6147        -0.208        -5.040        15.152   1.739   2.108   5.740
RIS1 2005.5140         8.055        -3.150        -7.958   1.951   1.914   6.298
RIS1 2006.0808       -11.729         0.008        -1.109   1.981   1.869   6.385
RLAP 2001.5525        -4.827        -0.290         3.491   1.124   0.952   4.063
RLAP 2005.7769        -9.592         5.864         3.278   1.653   1.429   6.422
RLAP 2006.2751       -23.874        -9.287        31.328   2.960   2.688  12.723
RLAP 2006.4613        -7.021        -6.974         5.205   3.167   2.934  14.019
RLAP 2006.8857         9.234         5.867       -19.669   4.384   3.873  18.631
RLAP 2007.0417        13.305         7.283       -18.525   4.718   4.050  19.404
RLAP 2007.1869       -17.854        -9.236        23.640   3.667   3.110  14.553
RLAP 2007.3347       -10.579       -14.486        -3.921   2.958   2.606  12.022
RLAP 2007.8932         4.965         4.863        -3.106   2.021   1.864   8.401
RLAP 2008.3450        -7.966        -6.593         5.405   1.746   1.611   7.244
RLAP 2009.6071        48.185        19.408       -21.362   1.036   0.956   4.136
RMBO 2019.9454         1.855         6.359       282.645   2.373   2.237  15.278
RMVJ 2018.0727         2.857        -2.039         0.413   1.095   0.953   3.844
RMVJ 2019.0992         2.657         0.237        -4.452   1.217   1.055   4.189
RMVJ 2019.7509         3.328         0.068         1.513   1.287   1.116   4.429
RNCH 2004.0192       -17.297       -14.226        -1.611   1.115   0.922   3.813
RNCH 2004.7529        34.097       -52.228        -0.866   2.079   1.756   7.146
RNCH 2004.9446         6.548       -12.327         0.103   2.250   1.888   7.672
RNCH 2005.3607         5.183        -4.842        -1.818   1.545   1.257   5.158
RNCH 2006.3217         5.386        -6.465        -2.473   0.983   0.795   3.295
RNCH 2017.8289        -0.689         2.993        -7.003   0.786   0.641   2.697
ROAP 2011.8138         0.933         3.278        98.301  22.723  16.573  77.775
ROAP 2011.8167         0.572         1.251       -91.813  22.722  16.571  77.767
ROAP 2015.2991         0.904        -0.910         4.474   1.046   0.879   3.541
ROBN 2011.3292        -2.764        -4.734         4.664   1.124   0.801   3.634
ROBN 2014.1684         0.971         5.482        -5.590   1.680   1.189   5.370
ROBN 2018.9678         2.487        -5.549        -2.048   1.387   0.973   4.489
ROCH 1999.7892        23.871         8.460        13.762   1.437   1.386   5.960
ROCH 2000.7310         3.102         2.052         4.854   1.337   1.282   5.550
ROCH 2001.7796         1.837         2.442         5.125   1.355   1.297   5.632
ROCH 2002.7515         2.410         3.446        11.049   1.458   1.389   6.064
ROCH 2004.9884        -0.347        -3.285        -7.657   1.486   1.393   6.115
ROCK 1995.8604         2.127         1.452        11.176   1.481   1.273   5.451
ROCK 1999.7180         4.063        -3.516         2.468   0.887   0.745   3.138
ROCK 2001.7714         1.261         3.877         1.507   1.081   0.904   3.795
ROCK 2002.7515         1.408         4.018         5.330   1.079   0.899   3.768
ROCK 2004.7967         0.718        -2.569        -7.676   0.881   0.727   3.046
ROCK 2007.0554         0.781         2.150         5.981   0.872   0.718   2.983
ROCK 2012.2574        -7.058        -1.838        -9.166   0.868   0.697   2.934
ROCK 2013.8535        -1.216         0.787         5.514   0.854   0.685   2.875
ROCK 2019.1786         4.627         1.855        -1.588   0.988   0.804   3.329
ROCP 2015.9890         2.449         2.183        -3.362   1.263   1.008   4.051
ROCP 2016.9528         3.520         4.414        -4.191   1.439   1.179   4.643
ROCP 2017.5003        -3.340        -2.639         0.389   1.438   1.183   4.649
ROCP 2019.0775         4.524         4.889        -4.437   2.081   1.730   6.556
ROCP 2019.5291        -1.699        -4.845         0.610   2.072   1.722   6.538
ROGE 2002.7159         0.824         2.958         9.809   1.102   0.937   4.063
ROGE 2004.3258         0.189        -3.452        -6.034   1.417   1.227   5.363
ROGE 2005.0404         1.837        -3.314        -7.802   1.407   1.210   5.230
ROSS 2011.3703        -3.163        -0.571         5.581   1.045   0.774   3.125
ROSS 2013.3908        -2.294         1.437        -6.063   0.942   0.703   2.858
ROSS 2019.0253         6.617       -22.001        -6.663   1.881   1.366   5.593
ROSS 2019.3622        -5.069        11.786         2.121   1.902   1.372   5.628
ROTH 2016.7529        -0.935        -0.008        -8.574   1.120   0.801   3.749
RPT1 2001.1636        -6.987         0.428        -2.683   1.531   1.096   4.765
RPT1 2001.9630         3.324         0.962        -7.754   1.991   1.433   6.125
RPT1 2003.4196        -0.246         2.291        11.555   1.821   1.316   5.569
RSTP 2002.7543         2.023         1.990         4.083   0.857   0.729   2.989
RSTP 2004.3751        -0.450        -3.276        -6.308   1.230   1.051   4.274
RSTP 2004.9582        -0.613        -2.293        -6.537   1.156   0.987   4.017
RSTP 2010.1684        -2.096        -1.593        -2.547   0.919   0.774   3.298
RSTP 2016.9610         0.112        -0.268        -5.938   0.809   0.689   2.850
RSTP 2019.5099        14.501         0.758        -0.183   0.943   0.806   3.310
RSVY 2003.0173         3.126         4.203         6.563   1.864   1.609   7.157
RSVY 2004.3778        -1.560        -3.037        -6.209   1.698   1.458   6.379
RSVY 2004.9526         1.521        -1.658        -4.394   1.469   1.264   5.505
RSVY 2012.5968        -1.702         1.129         3.688   0.934   0.780   3.454
RSVY 2019.0226         4.228         0.039        -3.204   0.904   0.772   3.325
RTHS 1998.2669        18.209         3.916        10.123   4.973   4.494  18.162
RTHS 1998.3190        20.229        11.943         7.303   4.745   4.356  17.883
RTHS 1998.4368       -42.954       -19.426        -8.545   2.653   2.466  10.253
RTHS 1999.7892         7.351         0.404        10.042   0.917   0.794   3.169
RTHS 2002.8337         3.916         2.865         6.570   0.866   0.745   3.027
RTHS 2004.3833         0.226        -3.522       -10.340   0.827   0.708   2.879
RTHS 2007.6276         1.122         0.563         3.415   0.725   0.613   2.510
RTHS 2010.2423        -2.362        -1.379        -1.507   0.825   0.693   2.837
RTHS 2019.5072         6.976         2.261        -0.933   0.988   0.857   3.405
RUBY 1998.9375        -0.104         3.110        -4.811   1.799   1.438   6.162
RUBY 1999.4798        -2.789        -2.040         7.316   1.540   1.235   5.273
RUBY 2002.7077         0.395         3.332         9.081   0.936   0.731   3.154
RUBY 2004.3669         0.187        -2.802        -4.752   1.405   1.105   4.790
RUBY 2004.9528         0.675        -1.169        -2.990   1.296   1.016   4.398
RUBY 2011.6468        -1.741        -0.144         4.203   0.835   0.625   2.602
RUMP 2010.2615        -3.437        -0.739        -1.177   1.318   1.083   4.311
RWDN 2003.1102         1.708        -1.604        14.196   2.715   2.159   8.991
RWDN 2005.5222         2.424        -5.098        -7.834   2.115   1.691   6.912
RWDN 2007.3095        -3.612         0.652         9.565   1.767   1.392   5.929
RWSN 2011.2854        11.592       -17.232         1.014   2.093   1.665   7.000
RWSN 2012.2519         1.160         3.206       -66.726   9.323   8.450  41.123
RWSN 2012.3972        -2.293        -3.609        58.861  10.657   9.484  45.988
RWSN 2014.7899        48.846        53.782        44.186   5.608   4.634  22.359
RYAN 1999.7947        -5.194        -1.755         5.693   1.376   1.164   4.803
RYAN 2001.7385         0.089         1.228         3.981   1.096   0.934   3.897
RYAN 2002.7515         0.975         2.427         6.078   1.123   0.957   3.982
RYAN 2004.3778         0.032        -3.042        -4.521   1.482   1.265   5.222
RYAN 2004.8268        -0.395        -0.938        -4.824   1.493   1.266   5.209
RYMD 2018.9678         0.995        -0.568        79.939   2.311   1.674   6.591
S300 2002.7515         1.191         4.177         4.793   1.068   0.874   3.708
S300 2004.3751        -1.497        -3.706        -6.845   1.265   1.033   4.386
S300 2009.0871        -3.598        -5.861       -17.963   1.336   1.081   4.473
S300 2016.8871         1.149         0.867        -8.542   0.818   0.665   2.632
S300 2019.0390         2.407        -0.949         4.999   0.898   0.738   2.890
SA62 2009.3826         9.643        -1.157        -1.939   3.176   2.449   9.935
SA62 2013.0842        -7.071         3.849        -1.203   1.389   1.077   4.295
SA62 2013.8891         4.424        -2.116        -2.402   1.444   1.125   4.456
SA63 2010.2587        -3.962        28.975        -0.313   1.179   1.020   4.120
SA63 2014.9596      -141.288       213.722        -0.091   1.287   1.119   4.926
SA63 2016.1122        -0.450         5.150         6.450   1.384   1.313   5.497
SA63 2017.1280        -4.579         6.285        26.298   1.731   1.883   6.997
SA63 2017.6728        37.877       -36.617       -43.096   2.200   2.231   8.816
SA63 2018.0287        -4.804         4.876        17.481   1.832   1.707   7.269
SACY 1999.7864         5.073        -0.263        26.976   2.060   1.834   7.687
SACY 2000.3970        -1.659         3.144       -23.225   1.496   1.354   5.678
SACY 2002.3518        -5.787         6.159       -17.953   1.651   1.469   6.313
SACY 2002.8255         2.842         0.472        22.461   1.878   1.683   7.223
SACY 2003.3895        -3.696         1.530       -19.921   1.895   1.709   7.419
SACY 2003.8960         4.120        -3.823        24.874   1.985   1.800   7.831
SACY 2004.3285        -7.225        -5.178       -13.631   3.135   2.914  12.739
SACY 2004.4545         2.370         3.006       -22.829   3.179   2.959  13.004
SACY 2004.8734         4.467        -1.461        24.324   2.155   1.972   8.623
SACY 2005.2320        -8.463        -5.668        12.160   2.932   2.668  11.952
SACY 2005.4018        -0.663         2.282       -19.201   3.072   2.824  12.740
SACY 2005.7988         2.975         1.064        30.514   2.118   1.974   8.806
SACY 2007.4250       -11.148       -12.165       -25.431   2.374   2.316  10.398
SACY 2007.7043        11.573        11.867       -17.220   2.428   2.363  10.707
SACY 2008.3176        -6.884        -7.367        -4.665   3.106   2.920  13.668
SACY 2008.4572        -3.026        -8.563        35.153   3.442   3.273  15.394
SACY 2008.7775         9.538        16.537       -45.477   2.396   2.286  10.564
SACY 2009.2977        -5.780        -5.809         0.561   2.913   2.730  12.621
SACY 2009.4593        -7.913       -11.256        32.987   3.186   3.022  14.109
SACY 2009.7604        10.300        17.998       -39.358   2.224   2.116   9.731
SACY 2010.4093        -8.550       -15.573        29.646   2.161   2.077   9.286
SACY 2010.7570         8.807        13.085       -17.758   2.176   2.091   9.373
SACY 2011.3949        14.052        -0.652        31.018   1.605   1.439   6.398
SACY 2012.5339        -1.486         0.398       -13.989   1.349   1.160   5.087
SACY 2013.4401         1.207         1.261       -17.472   1.327   1.150   4.977
SACY 2014.3354         0.811         0.105       -20.465   1.328   1.157   4.977
SACY 2017.6016        -1.255        -1.402        28.209   1.345   1.227   5.021
SACY 2018.3299         3.548         2.145       -17.471   1.288   1.171   4.801
SAG1 2003.9151        -1.201         2.031        -5.941   1.245   0.967   4.225
SAG1 2005.3552        -2.447         3.243         2.096   1.144   0.885   3.899
SAJU 2012.6817      -267.941      -360.967       432.224   6.387   7.755  27.994
SAJU 2012.6927       -34.627       -18.955         8.814   7.621   9.207  33.408
SAJU 2012.7173       -27.576       -14.167         2.815   5.312   6.346  23.220
SAJU 2012.7611       -23.039       -11.959         6.093   4.322   5.145  18.792
SAJU 2012.8159       -31.015       -12.901        -0.166   3.911   4.631  16.967
SAJU 2012.8788       -19.192        -7.086         2.284   3.406   4.021  14.814
SAJU 2012.9692       -18.101        -6.561         6.142   2.758   3.279  12.159
SAJU 2013.1143       -17.350        -7.986        -1.070   2.327   2.836  10.321
SAJU 2013.2868       -14.856        -8.538         5.601   2.267   2.749  10.054
SAJU 2013.5370       -11.774        -5.768         2.068   2.536   3.046  11.187
SAJU 2013.6756       -10.580        -3.891         0.394   2.304   2.746  10.095
SAJU 2013.9986        -8.909        -4.171         2.693   2.042   2.451   9.050
SAJU 2014.1821       -12.999        -8.103         5.361   1.947   2.371   8.697
SAJU 2014.7077        -9.382        -4.198        -0.829   1.514   1.823   6.749
SAJU 2015.2827        -7.683        -3.535         5.180   1.542   1.833   6.892
SAJU 2015.6632        -6.886        -3.034        -1.047   1.489   1.801   6.690
SAJU 2016.1369        -5.148        -3.013        -2.972   1.160   1.396   5.198
SAJU 2017.4675        -8.867        -4.155        -0.511   1.077   1.261   4.793
SAL1 1999.6057        -1.177         5.230         0.459   1.268   1.050   4.493
SAL1 2004.8378         0.537        -1.423        -8.909   1.229   1.038   4.407
SAL1 2006.8036         2.955        -3.752        -8.315   1.438   1.188   5.161
SALU 2009.0979        -0.272        -0.643        -5.420   1.503   1.582   6.540
SALU 2013.4702        -0.260         3.254         4.622   1.130   1.118   4.893
SALU 2014.8255         0.452        -6.838         3.420   1.065   1.037   4.556
SALU 2016.4353         2.796         5.606         1.311   1.031   1.022   4.461
SALU 2018.2697        -3.618       -10.195        55.266   1.856   1.875   7.828
SALU 2018.6258         2.685         2.559       -57.852   1.877   1.891   7.909
SAMO 2007.5838        -0.378        -5.474        -3.049   0.929   1.047   4.121
SAMO 2009.7467        82.883        58.052       -27.409   1.589   1.713   7.106
SAMO 2010.0506         0.988         8.238       -16.725   2.189   2.386   9.784
SAMO 2010.3409         3.040        10.752       -10.670   1.812   1.980   8.038
SAMO 2011.2580         3.386         9.500       -10.701   1.219   1.258   5.275
SAMO 2012.2491         1.996        11.886        -8.560   1.084   1.177   4.709
SAMO 2013.3032         3.296         5.637       -10.817   0.848   1.012   3.718
SAMO 2015.1129         3.486         3.539       -10.295   0.765   0.896   3.368
SAMO 2017.1800         1.019         4.106        -4.884   0.780   0.882   3.454
SAMO 2018.7242         2.210        -4.941        -6.711   0.804   0.903   3.558
SAMP 2001.9055         2.465         4.649         4.132   2.240   2.680  10.299
SAMP 2004.9856       -11.023      -155.530         5.642   2.297   2.644  10.522
SAMP 2005.2402      -152.684      -149.566        10.026   5.277   6.457  25.057
SAMP 2005.2786       -25.608       -26.582        -0.422   5.779   7.094  27.476
SAMP 2005.3580       -16.552       -17.805         1.281   3.954   4.754  18.165
SAMP 2005.4812       -11.818       -13.633        -4.999   3.307   3.953  14.492
SAMP 2005.6098       -12.057       -15.139         3.823   3.089   3.710  13.586
SAMP 2005.8126       -10.729       -12.566        -1.147   2.718   3.301  12.061
SAMP 2006.0287       -10.301       -12.599        -2.231   2.551   3.158  11.399
SAMP 2006.2697        -9.188       -11.013         1.746   2.708   3.361  11.986
SAMP 2006.4641        -9.679       -12.163        -2.940   2.514   3.052  10.997
SAMP 2006.8474       -12.240       -13.667        -2.521   1.975   2.319   8.715
SAMP 2007.3155       -11.560       -14.790        -6.124   1.921   2.291   8.568
SAMP 2007.7043       -13.508        -9.917       -10.000   1.920   2.387   8.600
SAMP 2008.1396        -9.581       -14.131        -1.975   1.883   2.395   8.401
SAMP 2008.5394       -11.970       -12.174        -7.736   1.686   2.139   7.564
SAMP 2009.2757       -11.193       -13.864        -8.045   1.672   2.093   7.532
SAMP 2009.7495       -11.395        -3.677       -12.556   1.936   2.422   8.697
SAMP 2010.2671       -22.265       -25.633       -14.272   2.386   2.976  10.655
SAMP 2011.8222       -34.803       -34.284       -63.865   3.891   4.998  17.791
SAMP 2018.4887       -41.410        41.385      -335.413  12.712  16.078  62.523
SAN0 2012.6956        -3.082        -5.195         0.802   0.960   1.164   4.197
SAN0 2013.8727        -3.302        -9.437         0.255   0.894   1.098   3.971
SAN0 2016.2165         2.116         7.144        35.252   1.378   1.665   6.063
SANT 1992.6981        12.219       -13.202        -8.651   9.379  13.239  34.309
SANT 1992.7365       -47.540      -113.911        70.215  66.612  88.679 189.513
SANT 1992.7392        46.686      -274.636       157.048  85.032 118.047 253.536
SANT 1992.7420         3.398       317.322      -255.872  59.865  85.496 200.730
SANT 1992.7447         0.711        77.504        41.285  27.525  33.971 107.373
SANT 1992.8003      -355.933      -539.292      1339.546  29.923  51.125 111.387
SANT 1992.8022       349.379       543.518     -1354.094  29.392  50.627 109.315
SANT 1995.2389         4.752        -6.217         2.864   1.233   1.208   4.749
SANT 1996.3750        -0.817        -5.129        -0.391   1.421   1.324   5.528
SANT 1997.9877        -0.398        -5.462         5.169   1.195   1.084   4.608
SANT 2002.8747         2.001         4.857         4.209   0.910   0.820   3.255
SANT 2010.1574      -148.656      -273.576       -16.016   1.340   1.259   4.904
SANT 2010.5462        -5.405       -17.488         9.831   1.728   1.611   6.346
SANT 2010.9377        -1.492       -11.981         5.637   1.496   1.401   5.517
SANT 2011.6496        -2.789       -13.749         2.141   1.302   1.233   4.818
SANT 2012.5258        -2.318       -15.104         1.184   1.306   1.228   4.854
SANT 2014.9625        -5.415       -22.511         6.541   1.464   1.366   5.411
SANT 2015.7098        16.143       -41.139        -0.397   1.309   1.204   4.797
SANT 2017.3142        -2.231       -12.131         8.637   1.054   0.951   3.903
SANT 2018.2261         2.183       -11.283         6.376   1.054   0.955   3.940
SANT 2019.5702        -2.196        -9.271         5.337   1.038   0.948   3.874
SAOB 1998.0123         0.517         3.587        -5.942   1.774   1.549   6.632
SAOB 1998.6858         4.586        -6.478        -0.888   1.546   1.366   5.766
