                       N               E               V      SN      SE      SV
ASKY VEL           9.704         -20.974          17.469   0.133   0.106   0.603
ASPA POS   -14.326090323  -170.722441893       53445.860   0.516   0.587   2.252
ASPA VEL          35.582         -61.568          -5.036   0.225   0.263   0.999
ATLI POS    59.589480740  -133.714473809      792938.888   0.590   0.398   1.706
ATLI VEL         -11.152         -10.909          10.401   0.163   0.109   0.468
ATW2 POS    61.597752726  -149.132296081       97132.445   1.261   0.851   3.765
ATW2 VEL          -9.069         -20.479           2.371   0.406   0.279   1.275
AUCK POS   -36.602837290   174.834386511      132681.127   0.919   0.785   3.163
AUCK VEL          39.578           4.146          -1.241   0.127   0.109   0.432
AUGL POS    59.370294218  -153.353910841      104099.203   7.526   5.328  22.143
AUGL VEL         -34.951          -3.314           9.154   0.457   0.322   1.343
AUKT POS   -36.843750852   174.770420850       40060.138   0.668   0.577   2.558
AUKT VEL          39.760           3.194          -1.987   0.148   0.129   0.540
AUTF POS   -54.839523495   -68.303564906       71911.612   1.709   1.187   5.623
AUTF VEL          11.604           9.037           1.349   0.107   0.074   0.344
AV01 POS    59.358527443  -153.460802300      487277.377   0.920   0.681   2.899
AV01 VEL         -29.629          -5.238           4.217   0.202   0.151   0.628
AV02 POS    59.332971197  -153.428392276      229862.781   0.943   0.616   2.714
AV02 VEL         -29.752          -5.242           4.958   0.226   0.148   0.651
AV04 POS    59.362579924  -153.444674253      915971.530   0.843   0.636   2.688
AV04 VEL         -29.480          -3.026           3.726   0.567   0.414   1.755
AV06 POS    54.147176987  -165.765721738      463130.186   0.528   0.366   1.503
AV06 VEL         -21.558          -6.078           2.964   0.114   0.080   0.323
AV07 POS    54.162934674  -166.038538264      521123.454   0.587   0.418   1.690
AV07 VEL         -21.502          -9.874           5.362   0.128   0.092   0.367
AV08 POS    54.136296889  -166.028272851      598455.195   0.538   0.395   1.647
AV08 VEL         -22.350          -8.581           3.623   0.087   0.064   0.266
AV09 POS    53.875632328  -166.541837492      105714.731   0.604   0.448   1.835
AV09 VEL         -22.333          -7.597           2.688   0.111   0.083   0.335
AV10 POS    54.097607030  -165.933765833      329586.811   0.588   0.390   1.711
AV10 VEL         -24.049          -7.443           3.717   0.109   0.073   0.317
AV11 POS    59.370624590  -153.354686937      114979.893   0.722   0.525   2.134
AV11 VEL         -29.757          -6.039           5.778   0.185   0.134   0.540
AV12 POS    54.210797224  -165.897546880      404769.733   0.566   0.398   1.619
AV12 VEL         -18.315          -5.009           5.099   0.120   0.085   0.341
AV13 POS    54.153078974  -165.897816076      494842.330   0.557   0.396   1.654
AV13 VEL         -22.375          -5.029           5.749   0.143   0.103   0.424
AV14 POS    54.118892383  -165.841569432      396389.972   0.557   0.396   1.586
AV14 VEL         -23.314          -6.150           3.356   0.137   0.100   0.392
AV15 POS    54.100191501  -165.710114188      457459.258   0.660   0.462   1.941
AV15 VEL         -21.683          -7.449           1.847   0.127   0.090   0.372
AV16 POS    59.385907859  -153.535046356       25436.835   0.940   0.666   2.734
AV16 VEL         -29.190          -5.591           5.780   0.153   0.109   0.442
AV17 POS    59.403943509  -153.451446570       29452.216   1.098   0.761   3.255
AV17 VEL         -29.076          -6.338           4.239   0.210   0.146   0.619
AV18 POS    59.380430708  -153.436835199      367177.228   0.742   0.497   2.368
AV18 VEL         -28.376          -0.364          -0.082   0.336   0.224   1.060
AV19 POS    59.354904634  -153.414329300      647440.993   0.650   0.470   1.964
AV19 VEL         -31.062          -3.794           1.148   0.154   0.111   0.467
AV20 POS    59.347378360  -153.428206945      542233.355   0.692   0.445   2.063
AV20 VEL         -29.605          -5.034           3.650   0.152   0.098   0.448
AV24 POS    54.589982499  -164.754804885      481796.723   0.604   0.430   1.817
AV24 VEL         -17.646         -10.041           5.763   0.118   0.085   0.352
AV25 POS    54.530000926  -164.779499839      652022.109   0.960   0.665   2.761
AV25 VEL         -20.314         -12.090           6.146   0.186   0.130   0.532
AV26 POS    54.571652785  -164.580465035      577688.117   0.508   0.361   1.490
AV26 VEL         -14.238          -1.203           8.396   0.145   0.105   0.424
AV29 POS    54.472350777  -164.586150256      972001.867   0.890   0.639   2.568
AV29 VEL         -28.835          -2.949          12.633   0.228   0.164   0.654
AV34 POS    54.724907118  -163.712920208      636427.629   0.488   0.331   1.385
AV34 VEL         -22.765          -8.044           2.605   0.078   0.053   0.221
AV35 POS    54.846693000  -164.386917347      647003.543   0.568   0.401   1.632
AV35 VEL         -21.642          -5.902           0.054   0.161   0.115   0.462
AV36 POS    54.771792445  -164.126804698      648428.346   0.615   0.439   1.794
AV36 VEL         -21.542          -6.808           0.523   0.195   0.142   0.560
AV37 POS    54.709377908  -163.997235594      796064.317   0.649   0.435   1.973
AV37 VEL         -21.562          -8.055           1.631   0.185   0.125   0.561
AV38 POS    54.831466858  -163.780874619      492330.103   0.523   0.362   1.559
AV38 VEL         -22.352          -7.948           2.071   0.147   0.103   0.437
AV39 POS    54.811339926  -163.998467330      797407.451   0.963   0.666   2.820
AV39 VEL         -20.019          -9.391           0.213   0.336   0.235   0.972
AV40 POS    54.644534743  -163.742968628      413971.877   0.458   0.322   1.296
AV40 VEL         -22.854          -7.924           2.548   0.072   0.051   0.203
AVRY POS    34.468301666  -117.153975262      888901.518   0.788   0.697   2.810
