                       N               E               V      SN      SE      SV
RYMD POS    46.684129328  -123.730413064      -10365.462   0.738   0.536   2.129
RYMD VEL          -4.662          -5.678           0.005   0.241   0.174   0.683
S300 POS    37.666507118  -121.558271464      495740.784   0.712   0.585   2.294
S300 VEL          -2.137         -23.064           1.027   0.117   0.095   0.380
SA60 POS    39.978153610  -105.275390787     1871136.930   4.317   3.521  14.061
SA60 VEL          -6.537         -14.806           1.398   0.482   0.394   1.573
SA62 POS    40.587774250  -105.147585163     1595473.816   2.560   1.998   7.953
SA62 VEL          -5.171         -14.871           0.287   0.403   0.314   1.253
SA63 POS    32.688901133  -114.495724044       45536.195   0.680   0.687   2.770
SA63 VEL          -6.102         -11.657          -6.766   0.265   0.226   0.958
SACH POS    71.990323686  -125.249866013       69259.004  11.251   8.104  43.216
SACH VEL         -13.851         -17.288           0.046   0.722   0.520   2.775
SACY POS    33.743247091  -117.895582712      -11276.979   0.630   0.565   2.390
SACY VEL          17.345         -38.272           0.109   0.409   0.366   1.545
SAG1 POS    43.628644452   -83.837771155      149177.205   2.276   1.766   7.672
SAG1 VEL           0.676         -18.346          -2.005   0.163   0.126   0.549
SAG2 POS    43.628371352   -83.837753759      149107.131  11.935   8.911  37.843
SAG2 VEL          -0.027         -15.783          -3.580   0.648   0.483   2.039
SAGA POS    -0.143852324   -67.057781670       94873.226   2.144   2.121   9.590
SAGA VEL          11.506          -3.907          -0.425   0.351   0.354   1.567
SAJU POS    10.067121785   -85.710556916       73792.100   0.507   0.590   2.261
SAJU VEL          23.999          17.164          -8.834   0.325   0.389   1.447
SAL1 POS    35.367077826   -94.816596872      129561.872   3.584   3.011  12.783
SAL1 VEL          -4.257         -13.887           2.619   0.263   0.221   0.937
SALU POS    -2.593457129   -44.212479628       18969.129   0.665   0.647   2.863
SALU VEL          12.748          -3.837          -1.086   0.270   0.276   1.178
SAMO POS   -13.849205379  -171.738429006       76735.311   0.544   0.612   2.406
SAMO VEL          33.768         -63.041          -1.173   0.167   0.191   0.744
SAMP POS     3.621607256    98.714718931        1329.563  11.734  14.905  58.369
SAMP VEL           0.151          31.257         -14.889   0.558   0.652   2.545
SAN0 POS    12.580450773   -81.715721254       10088.989   0.577   0.664   2.513
SAN0 VEL           7.180          12.937          -1.567   0.219   0.266   0.960
SANT POS   -33.150287366   -70.668555341      723109.767   0.793   0.725   2.954
SANT VEL          16.471          20.679           1.362   0.125   0.115   0.454
SAOB POS    36.765306329  -121.447190679      359821.695   0.482   0.409   1.738
SAOB VEL          22.826         -39.740          -0.105   0.097   0.081   0.350
SASK POS    52.196253947  -106.398357988      578874.290   0.419   0.291   1.179
SASK VEL          -8.169         -16.404          -0.258   0.092   0.064   0.261
SASS POS    54.513592630    13.643296790       68221.410   0.580   0.407   1.661
SASS VEL          15.028          18.781           0.617   0.138   0.098   0.394
SATS POS    46.965653470  -123.541229296       -7611.500  10.589   7.571  39.452
SATS VEL          -4.334          -7.555           4.339   0.601   0.430   2.234
SAV1 POS    32.138600374   -81.696337311        8414.346   1.983   1.826   7.714
SAV1 VEL           2.396         -12.524          -0.230   0.120   0.110   0.465
SAV2 POS    32.138718774   -81.696593342        8502.036  13.355  12.584  52.132
SAV2 VEL           2.517         -12.558          -0.013   0.682   0.642   2.634
SAVO POS   -12.939244509   -38.432254449       76313.054   0.477   0.532   1.981
SAVO VEL          12.762          -4.267           0.278   0.075   0.082   0.318
SAWC POS    37.689896543  -118.953168557     2440348.439   0.673   0.612   2.632
SAWC VEL          -1.995         -21.971           3.561   0.391   0.344   1.492
SBCC POS    33.553001874  -117.661491022       88665.670   0.809   0.694   3.048
SBCC VEL          17.429         -37.954          -0.827   0.144   0.124   0.536
SBGZ POS    47.803422928    13.110434057     1323405.833   6.689   4.947  19.690
SBGZ VEL          16.265          20.506           1.351   0.297   0.217   0.894
SBOK POS   -29.669322866    17.879213222     1043083.700   0.489   0.467   1.920
SBOK VEL          19.333          17.950           0.652   0.099   0.096   0.391
SBRB POS    37.686450308  -122.410847920      -13221.046   0.703   0.517   2.932
SBRB VEL          17.178         -32.457          -0.975   0.160   0.116   0.673
SBRN POS    37.686220602  -122.410446549       -2210.907   3.534   2.544  12.780
SBRN VEL          14.829         -33.988          -3.752   0.342   0.246   1.240
SC00 POS    46.950923553  -120.724611697     1178387.430   0.835   0.597   2.452
SC00 VEL          -9.352         -12.098          -2.389   0.264   0.188   0.789
SC01 POS    34.067952138  -106.966544496     2097381.244   0.568   0.490   1.935
SC01 VEL          -6.982         -13.434           0.339   0.133   0.114   0.452
SC02 POS    48.546193699  -123.007612142      -15033.470   0.516   0.364   1.488
SC02 VEL          -8.429          -8.527          -0.414   0.152   0.106   0.439
SC03 POS    47.816586157  -123.705739037     2018495.692   0.592   0.411   1.657
SC03 VEL          -6.749          -5.304           1.928   0.094   0.065   0.263
SC04 POS    48.923162948  -123.704130785       14878.338   0.737   0.522   2.112
SC04 VEL          -8.194          -7.955           0.634   0.112   0.077   0.321
SCCP POS    37.651845230  -122.002067817      419306.236   0.608   0.496   1.929
SCCP VEL           6.453         -27.658          -1.328   0.174   0.139   0.555
SCH2 POS    54.832090719   -66.832620310      498400.619   0.487   0.335   1.354
SCH2 VEL           7.919         -17.201          11.232   0.113   0.078   0.325
SCIA POS    34.607447168  -117.388304219      831441.402   0.781   0.664   2.654
SCIA VEL           3.950         -23.455          -0.158   0.126   0.106   0.428
SCIP POS    32.914429574  -118.487943332      452846.870   0.501   0.432   1.687
SCIP VEL          22.956         -42.048          -1.245   0.087   0.074   0.297
SCMS POS    33.444141983  -117.634568229       23244.579   8.382   7.256  30.055
SCMS VEL          18.504         -38.125          -0.773   0.571   0.494   2.047
SCOA POS    43.395237024    -1.681675077       59438.809   0.526   0.409   1.645
SCOA VEL          16.790          18.580          -2.605   0.220   0.171   0.688
SCOR POS    70.485336322   -21.950340642      128539.017   0.515   0.380   1.866
SCOR VEL          19.769         -10.678           3.567   0.145   0.106   0.523
SCRZ POS   -17.796790162   -63.159674022      442046.871   0.836   0.902   3.570
SCRZ VEL          12.511          -0.809          -2.117   0.332   0.357   1.402
SCUB POS    20.012064032   -75.762317152       20906.504   0.660   0.730   2.937
SCUB VEL           5.514          -5.177          -0.713   0.159   0.176   0.699
SDHL POS    34.255010732  -116.278899898      835059.051   0.670   0.579   2.321
SDHL VEL          -2.788         -17.129           0.512   0.136   0.115   0.464
SDLY POS   -77.135312610  -125.974570150     2097290.472   0.527   0.407   2.602
SDLY VEL           1.222          19.467          -1.787   0.098   0.076   0.482
SEAI POS    47.687004207  -122.256303581       -3942.252   1.624   1.176   4.804
SEAI VEL          -8.603          -9.812          -1.904   0.166   0.120   0.489
SEAS POS    45.984225108  -123.922423483      -11970.058   2.273   2.066   6.920
SEAS VEL          -3.847          -3.729           0.722   0.095   0.070   0.278
SEAT POS    47.653976004  -122.309477680       44197.411   0.622   0.453   1.798
SEAT VEL          -8.702          -9.539          -1.064   0.083   0.059   0.239
SEAW POS    47.687003965  -122.256303973       -3987.769  10.302   7.549  30.242
SEAW VEL          -6.711         -10.918          -1.993   0.560   0.414   1.696
SEDR POS    48.521556726  -122.223849657       29839.537   0.481   0.355   1.522
SEDR VEL          -9.257          -9.978          -0.650   0.066   0.045   0.206
SEKC POS    41.220176510    47.175149386      726674.414   0.786   0.685   2.972
SEKC VEL          14.470          27.270          -2.951   0.241   0.206   0.894
SELD POS    59.445706716  -151.706672736       20485.475   0.894   0.708   2.896
SELD VEL         -26.597          -6.867           9.412   0.174   0.137   0.531
SELE POS    43.178732646    77.016903478     1342012.126   1.771   1.414   6.606
SELE VEL           3.875          28.605           1.511   0.196   0.157   0.734
SENU POS    61.069581033   -47.141317764      667025.025   1.766   1.225   5.008
SENU VEL          13.676         -17.165           4.404   0.317   0.215   0.898
SEY1 POS    -4.673717463    55.479407686      537193.076   1.612   1.723   8.208
SEY1 VEL          11.960          25.070           1.483   0.283   0.308   1.439
SEY2 POS    -4.673650828    55.479454488      538823.012   0.880   1.000   4.813
SEY2 VEL          11.993          24.939          -1.097   0.327   0.364   1.740
SFDM POS    34.459806623  -118.754511055      291514.116   0.758   0.636   3.174
SFDM VEL          13.100         -36.672           0.850   0.133   0.108   0.556
SFEL POS    45.230020248    12.291349785       51592.131   3.106   2.399  10.655
SFEL VEL          15.492          18.172          -3.607   0.317   0.245   1.096
SFER POS    36.464347864    -6.205642998       84184.200   0.677   0.577   2.213
SFER VEL          17.162          16.372          -0.091   0.135   0.113   0.455
SG01 POS    36.604140905   -97.484816627      289992.264   0.714   0.609   2.367
SG01 VEL          -2.743         -14.316          -1.225   0.098   0.083   0.324
SG03 POS    39.998439789   -83.011204953      216360.632   1.498   1.241   4.836
SG03 VEL           1.493         -15.309          -2.322   0.110   0.091   0.354
SG04 POS    37.131915255   -97.266081016      359449.224   0.703   0.595   2.323
SG04 VEL          -2.742         -14.591          -0.986   0.100   0.085   0.332
SG05 POS    28.065245408   -80.622840168      -10832.066   0.700   0.699   2.739
SG05 VEL           3.146         -11.250          -0.999   0.057   0.057   0.224
SG06 POS    40.914680315   -73.124960700       23776.284   1.336   1.107   4.360
SG06 VEL           4.974         -15.154          -1.015   0.103   0.085   0.334
SG08 POS    36.841333815   -96.428046745      300251.786   1.057   0.892   3.492
SG08 VEL          -2.555         -14.020          -1.788   0.162   0.136   0.534
SG09 POS    36.430751425   -98.284359037      390876.551   0.702   0.601   2.325
SG09 VEL          -3.452         -14.170          -1.383   0.100   0.086   0.332
SG10 POS    36.881426904   -98.286359350      331376.880   0.824   0.689   2.704
SG10 VEL          -3.231         -14.137           0.303   0.127   0.106   0.418
SG11 POS    37.331570292   -99.308875786      635261.367   1.915   1.622   6.389
SG11 VEL          -3.653         -14.336          -1.187   0.132   0.112   0.441
SG13 POS    38.114620892   -97.515200060      411195.576   4.358   3.632  14.253
SG13 VEL          -3.077         -13.892           0.261   0.379   0.315   1.239
SG15 POS    38.202338121   -95.593754040      307248.055   1.896   1.595   6.203
SG15 VEL          -2.331         -14.800          -1.421   0.132   0.111   0.432
SG16 POS    37.384227962   -96.180739334      251821.242   1.477   1.239   4.881
SG16 VEL          -2.355         -14.663          -0.975   0.106   0.089   0.351
SG18 POS    34.883525668   -98.203910594      382690.913   1.858   1.612   6.293
SG18 VEL          -3.192         -13.610          -1.580   0.129   0.112   0.438
SG19 POS    35.355545328   -98.977856998      438815.903   4.710   4.027  15.999
SG19 VEL          -3.601         -13.391           2.136   0.401   0.343   1.363
SG21 POS    19.741238283   -99.188612110     2267908.024   7.436   8.188  32.079
SG21 VEL          -1.025          -7.903          -5.629   0.578   0.636   2.491
SG23 POS    40.437759003   -86.946169105      175820.029   1.727   1.422   5.752
SG23 VEL           0.493         -15.257          -2.593   0.128   0.105   0.426
SG25 POS    42.965645192   -85.886979297      185439.552   3.140   2.630  10.715
SG25 VEL           0.480         -16.063          -2.882   0.226   0.190   0.773
SG26 POS    37.462516196   126.955532303      200260.666   3.099   2.787  12.161
SG26 VEL         -11.754          25.905          -0.280   0.281   0.253   1.099
SG27 POS    71.322892257  -156.610333889        9388.368   0.546   0.409   2.075
SG27 VEL         -21.610          -6.341          -2.446   0.120   0.089   0.455
SG32 POS    30.602460776   -96.358857882       80403.934   1.437   1.332   5.268
SG32 VEL          -3.407         -11.323          -2.667   0.182   0.168   0.668
SG41 POS    37.151002479   -98.362105111      390531.865   2.210   1.866   7.234
SG41 VEL          -2.265         -14.617          -1.288   0.380   0.320   1.242
SG42 POS    36.819342544   -97.819919018      307660.644   2.421   2.056   7.984
SG42 VEL          -3.002         -14.046          -0.894   0.424   0.359   1.398
SG44 POS    37.069654240   -96.760623796      388285.099   2.411   2.050   7.918
SG44 VEL          -3.177         -11.452          -0.321   0.427   0.362   1.400
SG47 POS    36.310593639   -97.927514457      357793.509   2.724   2.331   9.069
SG47 VEL          -4.787         -13.902          -3.774   0.593   0.502   1.967
SG72 POS    35.236520898   -97.465230909      331105.790   3.447   2.989  11.860
SG72 VEL          -2.515         -14.122           0.375   0.260   0.226   0.896
SGDM POS    34.205629787  -117.861706557      420755.966   1.719   1.665   7.043
SGDM VEL          11.362         -34.955           0.474   0.244   0.236   1.001
SGHS POS    34.088627249  -118.108981195       79852.294   3.783   3.569  15.708
SGHS VEL          13.853         -34.411          -0.358   0.297   0.280   1.233
SGPS POS    33.912536657  -116.695689062      476724.509   0.599   0.483   2.053
SGPS VEL           7.726         -26.341          -0.436   0.210   0.169   0.725
SHAO POS    31.099640828   121.200449463       22028.160   0.627   0.571   2.457
SHAO VEL         -11.810          32.246          -1.235   0.114   0.105   0.441
SHE2 POS    46.220692031   -64.552013045      -15295.390   0.510   0.379   1.466
SHE2 VEL           8.490         -15.613          -0.817   0.123   0.093   0.358
SHEE POS    51.445682923     0.743414738       53341.519   6.196   4.505  21.251
SHEE VEL          16.482          16.833           1.839   0.154   0.109   0.517
SHIN POS    40.591678030  -120.225046520     1377323.004   0.457   0.356   1.487
SHIN VEL          -6.646         -18.665          -0.166   0.108   0.082   0.360
SHK1 POS    40.471493203   -74.011599567      -24633.883   6.486   5.292  21.925
SHK1 VEL           5.356         -10.677          -3.147   0.426   0.348   1.433
SHLD POS    41.868366289  -119.015687176     1457548.679   0.469   0.365   1.510
SHLD VEL          -8.529         -16.519          -0.828   0.093   0.071   0.297
SHN5 POS    35.674244258  -120.347060745      301655.817   0.930   0.777   3.089
SHN5 VEL          17.289         -34.155           0.972   0.508   0.429   1.685
SHOS POS    35.971344489  -116.298986721      582393.182   1.026   0.870   3.451
SHOS VEL          -8.332         -15.446          -0.185   0.092   0.079   0.318
SHP5 POS    35.268634026  -120.671283946       16600.552   1.898   1.643   6.643
SHP5 VEL          22.318         -39.320           2.688   0.419   0.361   1.443
SHPM POS    45.099053933  -111.862008095     2592020.978   4.267   3.106  12.227
SHPM VEL          -8.829         -14.652          -0.204   0.614   0.447   1.762
SHRC POS    37.624937690  -118.945629737     2352170.661   0.827   0.637   2.687
SHRC VEL          -9.802         -22.686          10.772   0.749   0.574   2.516
SIBE POS    34.624257841  -116.015584838      362492.271   7.520   5.920  28.111
SIBE VEL          -7.059         -16.420          -0.509   0.529   0.417   1.975
SIBY POS    42.170162807   -83.241334962      152477.878   0.655   0.507   2.099
SIBY VEL           1.911         -15.452          -2.826   0.161   0.128   0.527
SIDN POS    40.310359596   -84.171094194      292208.604   0.691   0.556   2.255
SIDN VEL           1.579         -15.041          -2.178   0.110   0.092   0.358
SILK POS    34.102863577  -118.263875672      106215.075   0.789   0.721   3.091
SILK VEL          13.900         -37.802          -0.822   0.177   0.162   0.696
SIMM POS    35.351113060  -119.997807359      583564.651   1.205   1.000   4.084
SIMM VEL          13.982         -33.723           3.779   0.754   0.625   2.534
SIMO POS   -34.187936777    18.439576320       39479.848   2.845   2.828  12.191
SIMO VEL          19.326          16.401          -0.435   0.190   0.187   0.812
SIO3 POS    32.864705438  -117.250414502       34854.741   2.055   1.749   7.843
SIO3 VEL          19.272         -40.106          -1.278   0.221   0.189   0.843
SIO5 POS    32.840736437  -117.249694162      185509.320   0.780   0.644   2.655
SIO5 VEL          18.533         -39.821          -2.281   0.183   0.150   0.620
SJDV POS    45.879086681     4.676579242      432405.257   0.607   0.454   1.759
SJDV VEL          16.136          19.498          -0.315   0.059   0.045   0.182
SKE0 POS    64.879199419    21.048295843       81438.721   0.499   0.356   1.579
SKE0 VEL          14.329          17.092          10.097   0.115   0.083   0.362
SKUL POS    36.730454152  -116.210627392     1237311.479   2.293   1.902   8.115
SKUL VEL          -8.873         -15.464          -0.025   0.187   0.155   0.662
SKYB POS    34.438624958  -118.478633646      520236.980   0.882   0.780   3.794
SKYB VEL          10.973         -34.581           1.824   0.175   0.149   0.736
SLAC POS    37.416518876  -122.204267892       63674.095   0.471   0.402   1.624
SLAC VEL          16.257         -34.579          -0.520   0.159   0.130   0.533
SLAI POS    41.900582863   -93.698874080      289466.476   1.745   1.457   5.816
SLAI VEL          -2.108         -14.531          -2.411   0.145   0.120   0.476
SLCU POS    40.772171503  -111.954974780     1277825.640   1.242   0.997   4.178
SLCU VEL          -8.802         -14.697          -1.217   0.135   0.109   0.457
SLI4 POS    39.314277076  -119.884290824     2902572.390   7.766   6.110  28.903
SLI4 VEL          -3.818         -20.118           3.245   0.631   0.497   2.350
SLID POS    39.314276985  -119.884290893     2902516.656   0.761   0.593   2.380
SLID VEL          -4.557         -20.659           0.098   0.108   0.083   0.340
SLMS POS    33.292227892  -115.977844740      -45929.842   0.520   0.451   1.793
SLMS VEL           5.689         -24.772          -0.580   0.192   0.167   0.663
SLOM POS    31.228185010    34.283824847      112712.103   3.231   2.923  13.496
SLOM VEL          19.047          23.077          -0.153   0.337   0.294   1.365
SMAI POS    47.523570993  -122.345059816      113442.114   0.586   0.419   1.679
SMAI VEL          -8.194          -9.461          -1.629   0.120   0.085   0.343
SMEL POS    39.425642638  -112.844930322     1422138.569   0.678   0.549   2.202
SMEL VEL          -8.953         -16.236          -0.290   0.052   0.042   0.169
SMST POS    33.577854821   135.936954194       97510.416   1.096   0.962   4.434
SMST VEL          -0.244          -1.109          -1.843   0.770   0.670   3.067
SMYC POS    36.319590653  -115.587485488     2562742.094   2.048   1.726   7.192
SMYC VEL          -9.057         -15.282           0.280   0.169   0.143   0.594
SNFD POS    35.473529417   -79.158057731       94072.004   0.559   0.487   1.995
SNFD VEL           3.722         -13.724          -0.549   0.102   0.090   0.366
SNHS POS    33.927338875  -117.928632419       66423.159   0.793   0.717   2.869
SNHS VEL          15.608         -37.206           0.284   0.192   0.169   0.718
SNI1 POS    33.247877498  -119.524370632      239649.524   2.531   2.206   8.265
SNI1 VEL          23.679         -42.478          -0.970   0.168   0.141   0.577
SNOG POS    34.035212145  -116.807793211     2314682.541   2.274   2.065  10.809
SNOG VEL           5.813         -24.792          -0.544   0.556   0.503   2.647
SNRS POS    46.914613003  -121.643603051     1938336.130   2.025   1.520   6.618
SNRS VEL         -10.378         -12.621          -0.463   0.435   0.324   1.416
SODA POS    67.420861284    26.389058297      299938.603   0.721   0.514   2.417
SODA VEL          13.357          17.977           7.734   0.094   0.066   0.317
SODB POS    37.166406426  -121.925524018      985505.790   0.897   0.745   3.917
SODB VEL          16.062         -33.147          -3.865   0.297   0.236   1.216
SOFI POS    42.556096248    23.394737005     1119520.288   0.382   0.303   1.293
SOFI VEL          12.005          23.991          -0.382   0.057   0.046   0.192
SOL1 POS    38.318877202   -76.453897280      -19090.167   1.984   1.676   7.071
SOL1 VEL           4.261         -14.469          -1.615   0.117   0.099   0.424
SOLA POS    24.910680508    46.400572422      760013.672   1.014   0.947   4.134
SOLA VEL          29.225          31.755          -0.551   0.122   0.114   0.493
SOMT POS    34.319941041  -119.064337703      464231.020   0.607   0.516   2.005
SOMT VEL          18.444         -39.070          -0.634   0.220   0.184   0.736
SONG POS    33.380750654  -117.560264591       -2946.518   0.746   0.641   2.546
SONG VEL          18.192         -38.915          -1.640   0.204   0.174   0.693
SOWR POS    42.225866632   -85.533570983      231411.863   0.683   0.533   2.202
SOWR VEL           1.445         -16.053          -3.269   0.137   0.108   0.443
SPCG POS    61.291215407  -152.022407539     1342874.409   0.949   0.682   2.819
SPCG VEL         -28.477          -7.438           7.561   0.156   0.113   0.470
SPCP POS    61.265525563  -152.155484393     1628878.096   0.931   0.650   2.723
SPCP VEL         -28.450          -6.781           5.783   0.295   0.205   0.871
SPED POS    18.461016037   -69.305573008      -22129.248   0.442   0.496   1.971
SPED VEL           8.929           7.074          -0.006   0.114   0.130   0.511
SPIC POS    39.306213388  -112.127477492     1670427.135   0.917   0.749   2.979
SPIC VEL          -8.347         -16.231           0.277   0.050   0.041   0.162
SPIT POS    59.608049772  -151.426989267       19905.762   0.599   0.426   1.762
SPIT VEL         -19.811         -10.119           7.302   0.332   0.235   0.968
SPK1 POS    34.059344634  -118.646166280      440132.189   1.329   1.179   4.574
SPK1 VEL          18.219         -39.515           0.271   0.092   0.078   0.318
SPKN POS    47.627662888  -117.502581170      694579.229   0.900   0.632   2.690
SPKN VEL         -10.185         -13.400          -1.221   0.189   0.133   0.559
SPMS POS    33.992655591  -117.848779838      207027.080   0.806   0.700   2.917
SPMS VEL          13.808         -36.490          -0.781   0.172   0.147   0.607
SPMX POS    31.045047343  -115.465866729     2763667.851   2.601   2.237  10.635
SPMX VEL          19.984         -42.205          -0.068   0.254   0.222   1.039
SPN1 POS    47.518354784  -117.423701129      719999.772  15.771  10.790  46.026
SPN1 VEL         -10.044         -14.552          -2.212   0.286   0.203   0.862
SPT0 POS    57.714960687    12.891353587      220024.103   0.855   0.585   2.496
SPT0 VEL          14.732          17.485           3.729   0.101   0.071   0.300
SRB1 POS    37.874358612  -122.266966367       54644.340   0.529   0.414   1.709
SRB1 VEL          12.307         -30.186          -1.247   0.241   0.190   0.815
SRJV POS    43.867855138    18.413898383      645772.802   0.500   0.382   1.535
SRJV VEL          15.739          23.241           0.131   0.047   0.036   0.145
SROD POS    19.475251105   -71.341161607       98779.662   0.918   1.016   4.174
SROD VEL           7.256          -1.157          -0.636   0.141   0.159   0.641
SRP1 POS    33.450627920  -112.227792099      297042.288   1.532   1.320   5.647
SRP1 VEL          -7.933         -13.941          -0.876   0.218   0.193   0.820
SRS1 POS    34.004338187  -120.065226229       68209.264   0.621   0.540   2.163
SRS1 VEL          23.878         -42.071          -0.152   0.055   0.047   0.192
SSHO POS    47.682298799  -122.315166601       74108.384   0.597   0.431   1.781
SSHO VEL          -8.555          -9.304          -1.555   0.113   0.080   0.335
SSIA POS    13.697085528   -89.116594484      626631.663   0.728   0.838   3.234
SSIA VEL           5.604           8.679          -0.908   0.287   0.344   1.240
STAS POS    59.017714163     5.598628227      104930.092   0.420   0.298   1.205
STAS VEL          15.852          15.214           1.215   0.066   0.047   0.191
STAY POS    44.830706900  -122.820860819      110861.352   0.563   0.415   1.725
STAY VEL          -5.897          -9.372          -0.577   0.092   0.067   0.281
STB1 POS    44.795485464   -87.314334370      148825.493   4.778   3.620  15.583
STB1 VEL          -1.040         -16.324          -0.166   0.351   0.265   1.144
STEA POS    39.625542590  -119.883676530     1534215.736   0.739   0.577   2.335
STEA VEL          -5.235         -19.910           1.898   0.193   0.147   0.620
STEW POS   -84.187014861   -86.247293522     1587331.966   2.363   2.350  16.517
STEW VEL           8.392          10.773          -1.240   0.251   0.255   1.774
STHL POS   -15.942532431    -5.667343721      453177.834   0.432   0.492   1.871
STHL VEL          18.710          22.955          -0.311   0.091   0.105   0.390
STJO POS    47.595241643   -52.677752507      152828.934   0.378   0.270   1.086
STJO VEL          13.090         -14.793          -0.466   0.067   0.048   0.198
STK2 POS    43.528642425   141.844820226      118602.585   0.743   0.524   2.214
STK2 VEL         -12.571           7.890           3.454   0.341   0.242   0.995
STKR POS    39.326070736   -82.107127559      176786.267   0.655   0.538   2.191
STKR VEL           2.511         -14.972          -1.139   0.076   0.063   0.265
STL3 POS    38.611088290   -89.758691704      157139.800   4.123   3.397  14.335
STL3 VEL          -0.991         -14.586          -0.716   0.284   0.234   0.987
STLE POS    36.089287436   -89.857565381       50335.730   0.621   0.536   2.237
STLE VEL          -0.096         -14.074          -1.474   0.095   0.082   0.343
STP1 POS    44.303948853   -91.903309796      353848.423  17.089  12.811  53.622
STP1 VEL          -1.786         -15.935          -0.644   0.173   0.128   0.546
STR1 POS   -35.315525856   149.010055526      799924.714   0.400   0.334   1.342
STR1 VEL          55.501          18.429          -0.623   0.077   0.063   0.259
STR2 POS   -35.316153510   149.010157658      802465.774   0.565   0.473   1.916
STR2 VEL          55.474          18.425          -0.813   0.114   0.094   0.389
STRI POS    36.644620797  -116.337795404     1029852.029   2.109   1.742   7.215
STRI VEL          -8.866         -15.440          -0.155   0.174   0.144   0.596
STRL POS    38.977218882   -77.483629251       55962.851  17.676  14.819  61.920
STRL VEL           3.156         -14.389          -2.586   0.760   0.637   2.662
STVI POS    18.340096037   -64.974446409      -21480.073   0.617   0.687   2.738
STVI VEL          14.046           8.999          -0.249   0.084   0.094   0.373
SUAA POS    37.426908264  -122.173294206       20398.520   6.021   4.942  19.974
SUAA VEL          14.746         -32.952           0.253   0.307   0.252   1.017
SULP POS    49.835590470    24.014492563      370519.505   0.422   0.301   1.235
SULP VEL          14.083          21.665           0.155   0.075   0.054   0.222
SUM1 POS    34.825062367  -102.511774427     1163386.398   5.322   4.648  19.765
SUM1 VEL          -4.208         -13.101           0.736   0.389   0.340   1.444
SUMK POS    44.208131677    73.997112426     1012128.415   1.433   1.072   4.942
SUMK VEL           2.086          27.047          -0.509   0.252   0.191   0.886
SUP1 POS    46.748741313   -88.442217640      202994.178  10.631   7.823  33.950
SUP1 VEL           0.556         -17.727          -2.468   0.651   0.480   2.078
SUP2 POS    45.749483282   -87.073510708      153785.671   0.688   0.511   2.072
SUP2 VEL          -0.767         -16.578          -1.094   0.108   0.083   0.344
SUP3 POS    46.302664290   -85.512807517      221666.543   0.685   0.512   2.071
SUP3 VEL          -1.479         -17.003          -0.239   0.104   0.079   0.323
SUTB POS    39.205835589  -121.820602469      616539.078   0.557   0.420   1.728
SUTB VEL          -4.636         -22.713          -2.409   0.140   0.104   0.436
SUTH POS   -32.380207940    20.810465298     1799767.621   0.473   0.428   1.681
SUTH VEL          19.311          16.845          -0.024   0.052   0.047   0.186
SUTM POS   -32.381431366    20.810913476     1797608.152   0.527   0.477   1.929
SUTM VEL          19.340          16.789           0.167   0.110   0.101   0.406
SUTV POS   -32.380207928    20.810465273     1799764.509   0.815   0.737   2.935
SUTV VEL          19.337          16.653           0.547   0.138   0.127   0.500
SUUR POS    59.463575561    24.380265310       84441.304  19.861  13.920  55.958
SUUR VEL          12.705          19.978           3.368   0.404   0.286   1.138
SUWN POS    37.275513119   127.054246136       82248.833   1.771   1.478   6.343
SUWN VEL         -12.327          26.919           0.321   0.196   0.167   0.735
SVIC POS    43.643062219  -121.253278341     1751336.884   0.568   0.430   1.683
SVIC VEL          -7.755         -13.943          -0.756   0.237   0.178   0.712
SVIN POS    38.033180622  -122.526323580      -27568.220   0.694   0.552   2.315
SVIN VEL          12.458         -31.694          -0.063   0.183   0.140   0.623
SVTL POS    60.532863737    29.780880773       76710.807   0.480   0.329   1.395
SVTL VEL          12.032          21.187           2.453   0.141   0.096   0.405
SWEP POS    37.611685167  -122.457701046      349294.683   0.570   0.467   1.808
SWEP VEL          19.524         -35.277          -1.734   0.125   0.101   0.400
SWNB POS    43.672736670  -121.355446639     1550348.266   0.532   0.402   1.561
SWNB VEL          -7.484         -13.607          -1.422   0.110   0.082   0.322
SYCN POS    43.115725874   -76.093401700       90347.398   1.450   1.176   4.858
SYCN VEL           3.783         -16.198           0.551   0.096   0.077   0.319
SYDN POS   -33.780871784   151.150382403       85574.666   0.699   0.564   2.750
SYDN VEL          54.566          18.160          -1.190   0.064   0.052   0.247
SYOG POS   -69.006956870    39.583742064       49991.686   0.552   0.394   1.944
SYOG VEL           2.895          -3.993           0.284   0.126   0.088   0.448
T3RP POS    37.927890284  -122.588260076      732367.185   0.644   0.521   2.016
T3RP VEL          15.618         -33.019          -2.248   0.202   0.162   0.638
TABL POS    34.381849805  -117.678286047     2228024.936   0.859   0.683   2.993
TABL VEL           7.998         -30.022           0.704   0.141   0.113   0.518
TABV POS    34.381849805  -117.678286048     2228025.898   0.907   0.722   3.186
TABV VEL           7.600         -29.883          -1.103   0.216   0.168   0.747
TAEJ POS    36.374419384   127.366085962       77445.141  14.359  12.828  57.241
TAEJ VEL         -11.788          28.157          -0.101   0.639   0.569   2.538
TAFT POS    35.156545418  -119.485171141      287064.945   0.832   0.698   2.774
TAFT VEL           5.905         -27.464          -1.971   0.441   0.372   1.463
TAH1 POS   -17.577024591  -149.606197250       99802.272   0.711   0.835   3.232
